subid,vNav1,rest1,peer1,rest2,movieDM,vNav2,peer3,movieTP,Mean_all,Age,Sex
sub-5007372,3.4263166060000003,5.254289276000001,4.179031986,3.8152440000000003,6.396506748999999,,3.540630123,5.822804497999999,4.834751105,16.496691000000002,F
sub-5037650,9.064647762,6.681133117999999,6.147066591000001,8.811146264,6.089747352000001,,29.81540491,7.5910849460000005,10.85593053,8.666438000000001,F
sub-5039851,9.174469237,8.373866137,9.929461909,8.579334797000001,8.924344299,,8.203178718,9.744120151,8.959051002,15.87018,F
sub-5049976,20.29900321,49.35846846,28.93697743,46.35548548,16.06024835,,91.61781119,15.07019009,41.23319684,8.491216,F
sub-5051717,6.039990277,6.82276574,5.927677918,9.379057996,7.052635358,6.408657466,4.360067572,9.922050223,7.244042468,13.354208999999999,F
sub-5055848,5.526815125,2.856819228,2.833856967,2.7833469230000003,5.35103973,4.471453927,4.872316433,5.488405648,4.030964155,16.19279,F
sub-5080946,5.151255179,5.493958625,5.259646889,5.801055373,9.003943657,,5.617115437000001,7.911961015,6.514613499,12.48574,F
sub-5082386,2.913700368,3.959530615,3.8722951310000004,4.582244106,4.54141942,5.985217285,3.892100697,5.827273016,4.445810497,9.824549000000001,F
sub-5098010,4.383535096,6.8267105820000005,6.8978581320000005,7.317323941000001,8.544567361,,7.725170951,9.115669049,7.737883336,6.508898,F
sub-5104233,37.06317405,,22.86666113,,25.75587209,,35.14352296,11.11731869,23.72084372,8.237166,F
sub-5116635,5.640309879,6.963309452000001,6.151062856,7.024658772,6.48117826,,7.16719514,8.09212716,6.97992194,13.436344,F
sub-5123565,5.592448421,11.1104488,20.07398919,11.01231965,7.645537325,,6.968518136,9.166206752999999,10.99616997,11.31451,F
sub-5132642,5.197416158999999,7.946544653999999,5.289900048,7.814662435,8.183136986000001,14.74896178,13.23100362,9.309760799,8.62916809,8.086584,F
sub-5138395,5.312694786000001,14.09826284,9.558804882999999,21.50650792,17.68466706,15.30737891,13.66234935,9.407972522,14.31976076,15.486424,F
sub-5144349,5.762954627,13.73425884,16.66240024,9.978558555,11.71790591,,29.74613985,37.99293499,19.97203306,8.532397,F
sub-5153227,11.92739518,9.392380502,12.27767345,15.15308725,14.21618978,,16.78064813,9.877126888,12.94951767,9.389801,F
sub-5153348,3.935042465,5.833011908,7.22818563,6.515557094,7.48900905,,6.218061165,6.534344808999999,6.636361609,11.812799,F
sub-5154181,6.4318017020000005,5.099355183999999,5.38365185,8.782233324,9.081422889,,10.47641091,6.725860109,7.591489043999999,9.98939,F
sub-5168371,7.0300612629999994,12.09770849,15.39497665,16.72317809,10.20177626,,56.54603533,9.25507784,20.03645878,9.488364,F
sub-5170698,5.168428174,4.631527545,4.875905756,5.7077156460000005,6.77530259,,5.3526707,6.273359436000001,5.602746946,14.367214,F
sub-5193767,17.81154481,8.568657199,11.74884852,10.12778147,9.187751172,,12.20446692,5.952024649,9.631588322999999,15.954597,F
sub-5207931,4.361653381,15.53887945,12.73059807,16.77907919,20.15666307,,17.21037681,12.91811809,15.88895245,16.715833,F
sub-5211558,3.3296607430000003,9.49319725,9.286777734,8.90126813,9.99794201,,10.26215242,10.72708514,9.778070448,15.328199,F
